skin_percent-rgb,skin_percent-hsv,Class
21.7,14.6,0
7.0,9.1,0
24.7,28.8,0
36.6,19.1,0
7.6,7.6,0
4.9,6.7,0
35.1,44.8,0
9.5,17.8,0
12.0,13.8,0
5.5,14.7,0
6.2,17.8,0
12.4,20.7,0
2.7,2.1,0
46.3,30.3,0
56.8,36.4,0
16.2,10.7,0
0.8,1.1,0
5.4,11.6,0
0.1,0.8,0
0.0,0.0,0
0.1,1.2,0
60.8,46.3,1
39.0,64.8,1
52.5,43.8,1
74.7,58.5,1
85.4,60.0,1
3.3,9.6,1
38.2,34.5,1
77.9,79.2,1
36.9,58.7,1
64.3,58.7,1
76.5,70.5,1
73.7,66.1,1
55.5,46.1,1
37.4,85.0,1
46.4,29.5,1
50.5,40.3,1
61.7,44.6,1
70.8,54.5,1
56.9,47.7,1
82.9,57.9,1
